Churn,Contract,CustomerID,Dependents,DeviceProtection,Gender,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,Tenure,TotalCharges
No,Two year,1093,Yes,Yes,Male,DSL,84.0,Yes,No,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,66,5714.25
No,Month-to-month,1094,No,Yes,Female,Fiber optic,111.05,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,No,65,7107
No,Two year,1095,No,Yes,Male,Fiber optic,100.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,72,7459.05
Yes,Month-to-month,1096,No,No,Female,Fiber optic,78.95,Yes,No,Yes,Yes,No,Electronic check,Yes,0,No,No,No,12,927.35
No,One year,1097,Yes,No,Male,DSL,66.85,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,71,4748.7
Yes,Month-to-month,1098,No,No internet service,Male,No,21.05,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,5,113.85
No,Two year,1099,No,No internet service,Male,No,21.0,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,52,1107.2
Yes,Month-to-month,1100,No,Yes,Female,Fiber optic,98.5,No,Yes,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,25,2514.5
No,Month-to-month,1101,No,No internet service,Male,No,20.2,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,20.2
No,Month-to-month,1102,Yes,No internet service,Female,No,19.45,No,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,1,19.45
No,One year,1103,No,Yes,Male,Fiber optic,95.0,Yes,No,No,No,No,Bank transfer (automatic),Yes,0,No,Yes,Yes,38,3605.6
No,One year,1104,No,Yes,Female,DSL,45.55,No phone service,Yes,No,No,Yes,Bank transfer (automatic),No,1,No,Yes,No,66,3027.25
Yes,Two year,1105,No,Yes,Male,Fiber optic,110.0,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,68,7611.85
No,Month-to-month,1106,No,No,Male,DSL,24.3,No phone service,No,No,No,No,Mailed check,No,0,No,No,No,5,100.2
No,One year,1107,Yes,No,Female,Fiber optic,104.15,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,72,7303.05
No,One year,1108,No,No,Female,DSL,30.15,No phone service,No,Yes,No,No,Mailed check,No,0,No,No,No,32,927.65
No,One year,1109,No,No,Male,Fiber optic,94.35,Yes,No,No,No,No,Mailed check,Yes,0,Yes,Yes,No,43,3921.3
No,Two year,1110,Yes,No internet service,Male,No,19.4,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,72,1363.25
Yes,Month-to-month,1111,No,No,Male,Fiber optic,96.75,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,Yes,No,55,5238.9
No,One year,1112,No,Yes,Female,DSL,57.95,No,No,Yes,No,No,Credit card (automatic),Yes,0,No,No,Yes,52,3042.25
No,Month-to-month,1113,No,Yes,Female,Fiber optic,91.65,No,Yes,No,Yes,No,Electronic check,Yes,0,No,Yes,No,43,3954.1
Yes,Month-to-month,1114,No,No,Female,Fiber optic,76.5,Yes,No,No,Yes,Yes,Electronic check,Yes,1,No,No,No,37,2868.15
No,Two year,1115,Yes,No,Female,DSL,54.6,No phone service,Yes,No,Yes,Yes,Electronic check,No,0,Yes,Yes,Yes,64,3423.5
No,Month-to-month,1116,Yes,No,Male,Fiber optic,89.85,No,Yes,Yes,No,Yes,Electronic check,Yes,0,No,Yes,No,3,248.4
No,Two year,1117,No,No,Female,DSL,31.05,No phone service,No,Yes,No,No,Bank transfer (automatic),No,0,No,No,No,36,1126.35
Yes,Month-to-month,1118,Yes,No,Female,Fiber optic,100.25,Yes,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,10,1064.65
No,Two year,1119,No,No internet service,Female,No,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,41,835.15
No,Month-to-month,1120,Yes,No,Male,Fiber optic,85.2,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,0,No,No,Yes,27,2151.6
No,One year,1121,Yes,Yes,Female,Fiber optic,99.8,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,56,5515.45
No,Month-to-month,1122,No,No internet service,Female,No,20.7,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,6,112.75
Yes,Month-to-month,1123,No,No,Male,Fiber optic,74.4,Yes,No,No,Yes,No,Electronic check,Yes,0,No,No,No,3,229.55
No,Month-to-month,1124,Yes,No,Female,DSL,50.7,No,No,Yes,No,Yes,Mailed check,Yes,0,No,No,No,7,350.35
No,Month-to-month,1125,Yes,No internet service,Female,No,20.85,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,4,62.9
No,Two year,1126,No,No,Male,Fiber optic,88.95,No,No,Yes,Yes,No,Electronic check,Yes,0,No,Yes,Yes,33,3027.65
Yes,Month-to-month,1127,No,Yes,Female,Fiber optic,78.05,Yes,No,No,Yes,No,Electronic check,Yes,1,No,No,No,27,2135.5
No,Two year,1128,No,No internet service,Male,No,23.55,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,72,1723.95
No,Month-to-month,1129,No,No internet service,Male,No,19.75,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,19.75
No,One year,1130,No,No,Male,DSL,56.45,No phone service,Yes,Yes,Yes,No,Electronic check,No,1,Yes,Yes,No,71,3985.35
No,Month-to-month,1131,No,No,Female,Fiber optic,85.95,Yes,No,No,Yes,No,Electronic check,Yes,0,Yes,No,No,13,1215.65
Yes,Month-to-month,1132,Yes,Yes,Female,DSL,58.6,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,0,Yes,Yes,No,25,1502.65
No,Two year,1133,No,No,Male,DSL,50.55,No,No,No,No,No,Bank transfer (automatic),Yes,0,No,No,Yes,67,3260.1
Yes,Month-to-month,1134,No,No,Male,DSL,35.45,No phone service,No,No,Yes,No,Electronic check,No,0,Yes,No,No,1,35.45
Yes,Month-to-month,1135,No,No,Male,DSL,44.35,No,No,No,No,No,Electronic check,Yes,0,No,No,No,2,81.25
No,Two year,1136,No,No internet service,Female,No,25.7,Yes,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,43,1188.2
No,Month-to-month,1137,No,No,Female,Fiber optic,75.0,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,23,1778.5
No,Two year,1138,Yes,No internet service,Female,No,20.2,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,64,1277.75
No,Two year,1139,Yes,No internet service,Male,No,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,57,1170.55
Yes,Month-to-month,1140,No,No,Female,Fiber optic,70.45,No,No,No,Yes,Yes,Mailed check,Yes,1,No,No,No,1,70.45
No,Two year,1141,Yes,Yes,Female,DSL,88.05,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,1,Yes,Yes,Yes,72,6425.65
Yes,Month-to-month,1142,No,No,Female,DSL,71.15,Yes,No,Yes,No,No,Electronic check,Yes,0,Yes,No,Yes,8,563.65
No,Two year,1143,No,No,Female,Fiber optic,101.05,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,61,5971.25
No,One year,1144,No,No,Male,Fiber optic,84.3,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,No,No,No,64,5289.05
No,Two year,1145,No,No internet service,Male,No,23.95,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,1,No internet service,No internet service,No internet service,71,1756.2
No,Two year,1146,Yes,No,Female,Fiber optic,99.05,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,No,Yes,Yes,65,6416.7
No,One year,1147,No,No internet service,Male,No,19.6,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,3,61.35
Yes,Month-to-month,1148,No,No,Male,DSL,45.65,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,1,45.65
No,One year,1149,Yes,Yes,Male,DSL,64.5,No,Yes,No,No,No,Credit card (automatic),Yes,0,No,Yes,No,30,1929.95
No,Month-to-month,1150,Yes,Yes,Male,DSL,69.5,No,Yes,No,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,15,1071.4
No,Month-to-month,1151,Yes,No,Female,DSL,68.55,No,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,8,564.35
Yes,Month-to-month,1152,No,No,Male,Fiber optic,95.0,Yes,No,No,No,No,Mailed check,Yes,0,Yes,Yes,No,7,655.5
No,One year,1153,Yes,Yes,Female,Fiber optic,108.15,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,70,7930.55
No,Two year,1154,Yes,Yes,Male,DSL,86.1,No,Yes,Yes,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,62,5215.25
No,Month-to-month,1155,Yes,No internet service,Female,No,19.7,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,6,113.5
No,Month-to-month,1156,Yes,No,Female,Fiber optic,80.9,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,No,14,1152.8
No,Month-to-month,1157,No,No,Female,Fiber optic,84.15,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,0,No,Yes,No,22,1821.95
No,One year,1158,Yes,No internet service,Male,No,20.15,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,22,419.9
No,Two year,1159,Yes,Yes,Male,DSL,64.25,No,No,Yes,No,Yes,Mailed check,Yes,0,No,Yes,No,16,1024
No,Two year,1160,No,No internet service,Male,No,25.7,Yes,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,10,251.6
No,Month-to-month,1161,Yes,No,Female,DSL,56.0,No,Yes,Yes,Yes,No,Electronic check,Yes,0,No,No,No,13,764.55
Yes,Month-to-month,1162,No,No,Female,Fiber optic,82.4,Yes,No,Yes,No,Yes,Electronic check,Yes,0,No,No,No,20,1592.35
No,Month-to-month,1163,No,No,Female,Fiber optic,69.7,No,No,No,Yes,No,Electronic check,Yes,0,No,No,No,2,135.2
No,Two year,1164,No,Yes,Male,DSL,73.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,0,Yes,No,Yes,53,3958.25
No,One year,1165,Yes,No internet service,Female,No,20.6,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,11,233.9
No,Two year,1166,No,No internet service,Male,No,19.9,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,69,1363.45
Yes,Month-to-month,1167,No,No,Female,Fiber optic,70.9,No,No,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,4,273
No,Two year,1168,No,Yes,Male,DSL,89.05,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,6254.45
Yes,Month-to-month,1169,No,Yes,Male,DSL,45.3,No phone service,Yes,No,Yes,Yes,Electronic check,No,1,Yes,No,No,58,2651.2
No,Month-to-month,1170,Yes,No internet service,Female,No,20.4,No,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,16,321.4
No,One year,1171,No,Yes,Male,Fiber optic,84.25,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,43,3539.25
Yes,Month-to-month,1172,No,Yes,Female,Fiber optic,104.4,Yes,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,2,242.8
No,Two year,1173,No,Yes,Male,DSL,81.95,No,Yes,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,14,1181.75
Yes,One year,1174,No,Yes,Female,Fiber optic,94.85,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,53,5000.2
No,One year,1175,No,No internet service,Female,No,20.55,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,32,654.55
No,Month-to-month,1176,No,No internet service,Female,No,24.7,Yes,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,34,780.2
Yes,Month-to-month,1177,No,No,Female,Fiber optic,74.45,Yes,No,No,Yes,No,Mailed check,Yes,1,No,No,No,15,1145.7
Yes,Month-to-month,1178,No,No,Female,Fiber optic,76.45,No,No,Yes,No,No,Bank transfer (automatic),Yes,1,No,No,No,7,503.6
No,Month-to-month,1179,Yes,Yes,Female,Fiber optic,105.35,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,15,1559.25
No,One year,1180,No,No internet service,Male,No,20.55,No,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,61,1252
Yes,Month-to-month,1181,No,No,Female,DSL,29.95,No phone service,Yes,No,No,No,Bank transfer (automatic),No,0,No,No,No,1,29.95
No,Month-to-month,1182,No,No,Female,DSL,45.3,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,45.3
Yes,Month-to-month,1183,No,No,Male,Fiber optic,84.5,Yes,No,No,No,No,Bank transfer (automatic),Yes,0,Yes,No,No,8,662.65
