Customer ID,Support Tickets,Response Time (hours),Issue Resolution Time (days),Customer Satisfaction Score (NPS),Churn
a899fdc3-2e0b-4b9e-aefe-1080315510c9,3,12,10,8,Yes
8cfc7257-9ae4-492f-9f82-2667774cdc3c,5,67,22,6,Yes
178e1fd1-d2d4-453d-8cde-223525c1213f,3,40,10,5,Yes
9db60db7-daf2-4b10-b094-cf6cda8a18fd,3,65,27,5,No
4aac35c1-d359-486d-bcd3-778e30c1e743,1,17,29,7,No
dd78c4e5-5d9e-4e71-a775-d88cced4d7d8,2,18,17,8,No
e3de2b4b-4e6e-4213-823d-79207e39a2e7,2,10,17,8,Yes
fce568bb-44dc-47e0-9f3b-993f324ae8e8,6,59,28,5,Yes
c07af555-4e6d-4884-8967-ce1f22d5ce17,3,12,8,0,Yes
165f6c28-669e-44e8-9750-23b9a884d9cf,2,17,26,3,Yes
bea1df04-a049-4d16-9b0f-865314670338,4,22,23,7,Yes
2259e335-c375-49b8-9bf5-7427bd91241c,3,14,12,3,Yes
e03791d2-af4f-42eb-9cbe-da1fe304d209,0,41,1,4,No
74edca2a-5186-4f4e-8fe1-f2215d630be2,5,8,10,9,No
5358f523-5931-41ca-a74e-09fb64cbdf57,4,17,2,2,No
c90d0478-20bd-42d8-a913-2050cdc73f24,6,6,17,1,Yes
6b50baba-b82e-4656-8a14-251bce706ada,7,71,2,2,No
336170f1-eff0-4fba-8724-487a182a6706,2,50,13,5,Yes
e7f2d483-185d-4356-b109-c3566ed95d9d,3,43,7,9,Yes
23b82886-c96c-4799-b32a-aa3bbe56e1b7,4,9,26,7,Yes
96d6eaed-4182-4f41-a90c-2cf1faf1affd,7,42,26,3,No
b74326ea-7a05-4dec-a6b5-e824784d33c4,9,45,28,3,No
7feb6e49-768e-4b26-bc5f-06c49f954c7a,6,39,7,3,Yes
6f331ded-3957-42de-8e6b-a5d172ad5ffb,6,66,27,3,Yes
05728c77-b7a1-4fb5-b024-8ade2b8f94a9,4,64,9,7,Yes
8a6dee37-c913-4532-bc06-e430c82b8412,3,61,15,2,No
73a03900-f03c-4c31-86f3-88f26a134a4d,0,38,25,0,Yes
6fed2667-0c9d-4ed3-b75a-a76dc11a1f66,5,66,9,4,Yes
a495e162-dca8-4549-a7df-ca5c2b31982f,8,11,7,0,No
3345adb2-4b69-4e64-911e-58f6e15875b3,1,3,12,5,No
83186293-e66e-44a5-9ab5-6b49c1e9c7c5,0,9,8,4,No
0520eeff-fa3e-4868-aeba-cc3406e60b8e,9,43,7,5,No
0a651a92-8660-4858-9dad-2303bcec5254,4,63,6,4,No
d66d48cd-3c14-4926-9619-f05f622ec9bd,3,10,10,2,No
ad5d1a8a-561c-43d1-a699-1ac2f9128957,3,32,27,9,No
dcc02b6d-436f-4adb-a8b3-e5b3923d3cae,0,68,20,9,Yes
cf807847-43dc-4e25-8c11-b6df2b47f79d,0,7,3,8,No
58f10a58-3751-41cb-b6b7-dc8f9290e09b,0,45,21,0,No
f2c2de8f-b2d9-46df-a81f-29f8d770b617,7,46,21,6,No
d449b317-5fce-43bd-9719-d422590cd712,0,60,20,2,Yes
f03de082-11c8-4b79-abf3-6c7a0cf8844a,4,29,12,1,No
57ca0fe4-4002-45de-a7c5-8f6300713f6e,9,64,3,5,Yes
cc8589d0-a59e-48f2-9722-d21787002aaf,5,46,20,2,No
8e00a98f-a04c-4497-9554-9fe4c02e505f,6,2,18,7,No
5a75d5b4-fc0d-40a4-ac30-7e232409a8e0,4,3,23,6,No
6a63bfdd-490e-482a-b46f-9ce98557871f,8,42,28,7,No
58891064-ed3f-455a-9b96-b31a4f62d4e9,0,68,28,3,No
c86e9996-f904-49f8-87fe-d4df450d2847,6,62,14,5,Yes
dcd6f837-801b-438b-8bde-1b7acac741f0,5,30,16,5,No
fdb06643-fa87-4520-bc74-855c6f7e90ea,8,31,8,7,Yes
41c18624-7fab-4a89-ae6b-eb37b2de054a,5,41,16,8,Yes
332bb23b-de87-4aa0-ae1c-eabbf59692f4,1,22,26,5,No
4106a644-e67e-43f2-ba94-b5ad946316ae,8,9,17,9,No
8457b7ef-fda2-42bb-abc6-f81875aff6f7,3,31,1,4,No
a441bbd2-3ab1-42e5-be87-6d0b87cca329,8,16,5,9,Yes
214f4886-3f88-4a3f-bb3c-d843660bc739,2,35,28,8,No
f8283b52-ed5f-4e5b-86c2-a93433d34c93,2,22,23,3,No
cc60e009-c621-4734-b259-d99fa6e4149c,4,52,5,9,No
9ebf2a29-3e52-47a4-b41d-6b24919a9215,7,59,23,0,Yes
956455c1-3820-4092-a002-3dac66ea41f6,8,13,28,8,No
a46307fa-3881-48c6-a302-61ff4fb53b49,3,51,18,4,No
6ab36a7e-98b5-4c51-b92a-e727f13c1927,7,39,3,6,Yes
68b5b0d2-0ff9-4865-bc69-81060eb61084,9,59,4,9,No
86b87ecd-3cbf-48f4-bd44-d0faabf9e3ba,4,39,21,5,Yes
1947f1dd-31b8-46f6-af99-77dfe01d6731,8,71,29,2,No
207d7b1d-a858-49b0-ac36-a85aa8082eb5,2,48,16,6,No
3ce30443-d229-4483-a3c1-b740be6b476b,7,65,20,6,No
0f46d83d-74f2-48f6-a628-bd20d68644b5,4,50,23,6,Yes
9a906bb2-f399-4267-a280-06c493429890,7,46,5,9,No
fa450d86-8a3c-40b5-a6e4-deb0ca42d604,9,35,16,2,No
e8f2139d-2b80-4ef5-837b-bdc75bfc2043,0,63,5,2,No
e0412112-8c3e-463a-9536-165aa1f5ad29,8,31,18,1,No
8d992750-d7a6-4e5a-b807-64e86a657fa8,4,60,29,4,Yes
cc5cb3a2-56c0-4804-9323-93e91068ee44,2,16,1,4,Yes
2c1a33b6-bf9c-41bf-a554-b3e95eed0619,1,51,1,3,Yes
966f4e52-4e9e-4664-9e89-253c1adc4bec,2,55,11,9,No
2191fd96-cb9e-42e6-8b10-67cab7da253e,0,37,8,8,No
58740479-471a-4e4c-a326-535215d654b0,5,25,1,1,No
96fc446e-ae1d-4b6a-92dd-1f0c0a280727,6,28,9,0,Yes
8e980b9d-c559-4b5e-9073-d6b9db3e8ac3,9,24,18,9,No
14b269b5-1392-4988-9967-d7f8d5b2f9fe,6,21,28,8,Yes
633a41bd-9361-48de-b6a2-0fddd65a0a7a,1,11,8,3,Yes
04994d03-9e31-4e9c-9a4c-467c1b4c8ad5,2,53,18,3,Yes
275701b0-a0d5-475f-bda8-caf414594556,3,16,8,9,Yes
97ad861b-9fba-4477-a98d-f639b7296621,9,11,29,7,Yes
e3de1ff3-4134-4743-a90a-b4fb84a9e357,6,14,25,6,Yes
345e8ee5-372d-491a-ad48-b868bd355306,9,43,8,0,No
d2a1a280-665a-4e86-ae1c-2ec4f95a5981,7,42,13,9,No
e6d1ac7d-6318-4182-be14-4b78c7e963fc,8,67,16,2,Yes
9cd98ea7-e6b3-4235-93be-b1e05b20c792,5,30,16,9,Yes
d0335c88-478b-481f-86c5-ad117feb1a48,6,65,22,5,Yes
94d2a134-8c6f-4165-bf49-3ec93952d53e,7,45,7,5,No
ee8a4da0-7860-4f38-8c41-99a47314b150,6,3,4,5,No
35735756-b41b-4554-9828-19a9d712e5e2,6,47,4,5,Yes
26fccec0-c6d9-45c7-bc86-8b5897bb51e6,8,61,27,7,Yes
77760156-33a8-435f-8d07-0a4b4546381f,9,56,19,6,No
c842bffb-6902-4338-b627-56d986e52c5e,5,8,26,2,Yes
f44d39e6-a8eb-42d2-b834-98f2e4444d8d,0,32,25,3,Yes
b8266004-5180-4cab-946f-a36a1158abe9,2,57,14,2,Yes
f915ec79-8636-4eea-8451-d815b171636a,4,26,21,8,Yes
3d928bb7-b68e-4cbb-b6a3-20bf7438b42d,8,70,15,4,No
564a1ff2-16f5-4534-90b3-e2998d077c07,0,8,8,8,Yes
b8918563-d221-426d-a504-44948c66f6cb,1,20,3,6,No
fa138f50-dffd-4243-9f64-27bff2a7a9c0,2,13,12,0,No
d9b44809-123a-4a1f-a0f2-077085158fa9,3,45,4,8,Yes
39293044-feb1-4cba-8873-75976b0870de,5,8,19,1,Yes
2dbfda49-6f9f-48c8-8a38-1ac0f240d8a5,6,18,12,9,Yes
411b86b0-6d11-4714-af03-3d31b2caf6a6,6,26,9,1,No
48bb7918-2752-4de4-86a9-619523a80ad5,1,33,1,3,Yes
75c4fafb-03ab-46ea-b19c-2bdd1a7e8cb7,2,8,10,5,No
0f857afb-a4e0-46d3-8109-a4064b2622e0,0,66,25,5,Yes
74a2cf7f-59ed-4452-acba-3680337826df,0,16,11,9,No
cdcbd466-5e58-4b37-b5a7-44690f9a06c0,5,43,11,8,No
88c90ef9-58cb-431d-94d9-1fd1874909ec,3,11,8,8,Yes
ea81041f-77a0-4b3b-a3fa-1ae03ee55488,9,44,17,3,Yes
f216d26e-fc10-4422-a883-253e6f1f1acd,3,8,11,4,No
92934cbd-feda-4042-b778-0a22301af705,8,70,26,2,No
1292977d-2387-44c0-9255-c7ac39c2656b,7,65,10,4,Yes
5c503abd-fc05-4232-ba7a-ff042f56fa4a,2,67,20,6,Yes
2da57cc3-ff9f-4c4f-9b56-7a79534c659c,2,20,10,1,Yes
ec07fbed-d630-4dd3-aea9-deaa80ebc597,7,49,13,9,No
24e7a9d3-2418-4f30-934b-4e29a3c7e004,1,15,17,1,Yes
45a7a5e4-ba27-4f5f-a625-94fd8ff6e398,9,5,15,0,No
1c198d49-870e-40cf-8809-1a7c751bc15a,4,53,14,1,Yes
a45ce0ce-cf43-4119-9b87-5be040afbc9b,5,41,11,4,No
5a4a5159-2411-433c-9fbb-3a1a9f3e4d0e,4,49,11,8,Yes
31b1277b-0f86-4faa-9060-a5df1545cc70,0,71,18,4,Yes
290f2d30-745b-4e63-919a-b2b33afc153e,4,68,16,8,Yes
89a3572e-c8ac-4a96-b7c8-3af45eb5c429,8,23,10,1,No
0206225b-d025-42b1-afe7-3e6da1a09d5e,9,26,2,5,No
53f92984-864e-45d8-a731-061d92ed601e,1,48,27,0,No
3880951f-33a2-4b87-ba9a-4461e6d93d9e,2,60,21,0,Yes
01bc213a-888e-4035-b7c0-c6b2321ff274,5,66,19,2,Yes
6975e97f-d077-426f-af97-03552108fd96,2,16,8,4,No
badaf7f4-b3c5-4d5b-8988-252476e1a226,5,51,18,6,Yes
67ff2319-0201-42c0-9d0b-0955c34db3d0,6,23,13,9,Yes
2e1276f7-7792-4d15-9772-e85aa732e7a5,2,51,26,6,No
0426cb52-bb12-4583-a4f0-1e7924707302,3,55,21,0,Yes
be2b33fe-6fbb-48dd-9db3-414dbc3b73ae,5,45,22,1,Yes
a81badfe-27da-4504-b84f-a24f299338b3,0,11,14,0,Yes
6dceaa62-1791-4c6d-9cce-37a0c625c336,0,46,10,0,Yes
a72b3c42-e656-4548-a6e0-4dd559dc440c,4,58,5,3,Yes
f9afc94f-579b-4a5b-a598-e45ba092c547,7,26,1,0,Yes
b7ff02d6-9aba-4b91-bb13-0fecc1813f0a,0,66,29,3,Yes
20ec1721-53b0-4336-9654-a7e396689d71,0,57,15,2,No
6e2dccc6-49fa-47d6-b20f-dab1f4c0d11f,0,45,23,6,No
2ba1d4a5-5ae9-4710-84c8-8772221d9864,9,22,22,8,No
5c9fdeca-9940-4e29-85ff-3937166b0d8d,0,26,26,9,Yes
494a3f54-95fe-4a89-89e0-f9d81ca11c04,8,49,4,5,No
74daaf57-27ad-490f-b928-e96cd4d94d12,1,68,26,4,Yes
94a01493-ecb0-4d28-acd1-ac5fedb04063,5,6,23,4,No
c8c68614-7adc-47e5-9fff-594e161ac22a,1,22,28,7,No
60cc0456-2508-41a0-83e2-caaaa32a2628,4,38,15,1,No
0b7a395f-27d1-4f12-9d43-95e7ccaec9b8,4,23,11,8,Yes
1e7058e5-c18b-475c-a175-10cdf4670d5b,8,64,29,0,Yes
127335ad-cb07-445f-a27c-049e9f226316,3,67,13,3,Yes
8d58660b-c740-415e-8e86-c1c8766e798c,5,20,16,8,Yes
f12b13a2-ab6b-4bf4-ab1c-bcdd2b834ef4,3,33,10,4,Yes
e5f4ce40-e7dc-4747-91af-1c265f83741d,5,20,23,3,No
713ed516-61bc-42c5-bb6c-a2a191f1a504,2,70,11,7,No
605efd8d-bb0d-4422-a207-6fa0ad747eaf,3,44,14,9,No
722ed063-74c3-4300-b095-1ef6d66cb63f,8,25,10,5,No
d20e6b42-ec73-41cc-b516-26973e896077,0,49,25,3,No
b0e83dff-e4a5-434e-b403-25cd8cbc1510,6,15,1,6,No
693ccd4e-0ece-4720-97f7-94ab8d43ea02,2,27,22,4,No
07dd208f-b863-4c31-a1de-23209a187ccf,8,21,28,8,No
83771c01-990a-45d7-8701-210bb11822fd,6,26,6,0,Yes
87f84e9b-e3f3-4cf7-97ce-caa376970c0c,1,10,29,6,Yes
9d4255e2-c9e1-4449-b1c4-e6c4a4c4f34e,4,67,28,5,Yes
798dec2f-1499-4dfa-8178-40a8dbd42e10,0,38,6,0,No
380e3311-69ef-4e43-b4b5-5708e169efe0,0,55,14,5,No
637464f4-b8c4-421a-8f06-e8e0a06b6747,6,69,28,9,No
07968b60-6a48-4887-a9b0-6024a5638540,6,69,24,5,No
4beef235-7db6-4469-b1e4-7d678403b3ac,7,32,13,9,No
b287b2af-bf1b-4229-86a9-876b2b718626,7,48,9,8,No
d00cfdac-cc8c-46be-abdb-c5a41b63907a,6,27,20,9,No
98aa00ac-cd78-4758-b6ec-29c36e3b8db2,2,32,29,6,No
79e5f3ca-c360-4929-b39c-290751e351fc,2,36,6,0,Yes
0bbc3722-d979-47e4-98e6-420de18ab2b0,1,55,1,3,Yes
57a9c31a-0e31-4918-a346-ef823ae05029,0,70,29,4,Yes
2f167879-92cd-45e0-bf44-07faa95e4c82,7,13,5,2,Yes
a58ffb86-8ef6-407b-8b0f-5e31752a7993,5,50,18,8,Yes
a2dd6b4f-ae3d-43f9-9242-93370e298359,4,18,25,7,Yes
b324e6f9-17e7-4069-a3c7-ef40230bf898,0,29,12,4,No
132aa8fc-e72e-4b5b-a8c8-c5ff8c3af987,4,10,22,3,No
0696d7c5-2371-45eb-8bc8-8cd9c16ee00c,9,39,29,1,No
ffd686c2-a110-4bbd-9edd-3210ee9ec9c1,7,3,26,6,No
657b8f48-86a9-4382-ae98-955e0937d798,7,48,8,6,Yes
f2f5e755-5077-46ae-b927-508f1244fc62,9,42,11,4,No
8fe23c2c-88d5-484b-a363-645617d86018,5,47,7,6,Yes
b9ed35b5-6361-431d-b814-a6dc1ad2deb6,1,26,6,4,Yes
b55501f0-723a-4beb-9ee0-0b12a79951e6,1,32,8,2,Yes
c588659d-99db-45ca-891e-86a7ee47bbab,1,27,3,6,No
5c17a977-1b61-4c99-82fa-0ec9f5d940e1,7,70,26,5,No
530689c0-f4a2-4bac-9ac3-1dcaac1ac87c,7,8,1,7,Yes
ef5dc2f3-8236-4ebb-be32-0251c6a93330,7,18,27,1,No
755b2cd0-2b89-4755-a9f3-6c82fd5731ca,0,22,28,2,No
740f330f-d5ec-4ce1-aee2-e0174870c546,8,63,16,1,No
d118fc0f-2df8-4a87-8b3c-63982aa468eb,9,50,23,6,Yes
194a7400-fad4-4d56-af01-b676613ca46a,3,1,10,2,No
3eb4a1aa-7ce5-49c4-ac68-157f00d5bf03,8,3,21,2,Yes
37d5ee02-2564-45a1-bcad-5d85c7bf3fe0,6,56,18,7,Yes
56078da9-0c20-46e6-b9da-51944909c34f,2,7,20,5,No
5080d5d7-6015-42ce-8477-572b9a18771f,9,27,16,1,No
2736ef72-1206-4a6d-b6fc-45400bbb4f20,9,15,10,5,Yes
2a193b1c-c7d9-49a7-b698-82991b777554,2,32,28,6,Yes
1362b916-b680-44a2-9227-5b552f13d8bd,1,49,12,6,No
76de2e40-e224-4f43-b779-0d1a8dea898f,6,69,26,6,Yes
f47aa332-9d6b-4c74-a6e7-49d4d70893be,7,32,15,5,No
43149fbb-683b-4196-8ab0-cd2e920e42ac,0,53,2,5,No
bd2329de-130a-46a2-aaa3-8a2ab27fe2b4,6,28,18,1,No
480acf2f-a9f5-4567-a76a-094a6c7d9480,1,70,21,3,No
6398de6a-c763-4645-b996-6e34b811aa0e,6,36,29,3,No
d925c0ed-8b4c-4a46-8df2-20e53e82470d,5,62,12,3,Yes
e46567c2-c88f-4a88-b1d4-3543decdef31,8,10,11,3,No
ec18072c-b362-47a9-a1b2-e511ce80bd72,6,14,23,0,No
31e2133e-9e6a-447b-832a-addaf822d32d,8,25,10,5,No
0b3035f5-eb7c-46e5-8ecf-8c25c2317a5b,4,65,6,6,Yes
044edb64-2dac-4a75-9771-3ae1d48eddfe,5,39,27,4,No
36720cf1-aa18-4236-9cf0-c2c15ee62b7e,5,43,17,3,Yes
cb2af403-42ca-4bb1-a447-123abfc1a561,2,50,17,7,No
d69bc7d7-aac5-41f8-b49b-c9e6588e5657,2,23,26,1,No
63c66bc0-1fe5-4ab5-a4f8-de1a8fb7662b,0,2,17,7,Yes
e89465ac-83c8-4d91-8483-a8d071d2ab23,3,15,3,3,Yes
9f60aaed-c770-48fb-b58a-8320331208ef,2,44,1,3,No
7e1f313c-d93d-48b6-8293-cb084c96e254,6,44,10,1,Yes
74218851-e25e-464b-afeb-e9252aec2dc8,5,63,4,7,No
